filename,expiry_date,freshness_class
BEANS\BEANS0000.png,2025-08-17,fresh
BEANS\BEANS0001.png,2025-06-25,expired
BEANS\BEANS0002.png,2025-07-04,expired
BEANS\BEANS0003.png,2025-08-16,fresh
BEANS\BEANS0004.png,2025-08-27,fresh
BEANS\BEANS0005.png,2025-07-18,expiring_soon
BEANS\BEANS0006.png,2025-08-08,fresh
BEANS\BEANS0007.png,2025-07-30,fresh
BEANS\BEANS0008.png,2025-08-09,fresh
BEANS\BEANS0009.png,2025-07-06,expired
BEANS\BEANS0010.png,2025-07-23,expiring_soon
BEANS\BEANS0011.png,2025-07-18,expiring_soon
BEANS\BEANS0012.png,2025-08-06,fresh
BEANS\BEANS0013.png,2025-08-09,fresh
BEANS\BEANS0014.png,2025-07-23,expiring_soon
BEANS\BEANS0015.png,2025-06-30,expired
BEANS\BEANS0016.png,2025-07-09,expiring_soon
BEANS\BEANS0017.png,2025-07-09,expiring_soon
BEANS\BEANS0018.png,2025-07-13,expiring_soon
BEANS\BEANS0019.png,2025-07-07,expired
BEANS\BEANS0020.png,2025-08-22,fresh
BEANS\BEANS0021.png,2025-08-24,fresh
BEANS\BEANS0022.png,2025-07-28,fresh
BEANS\BEANS0023.png,2025-08-17,fresh
BEANS\BEANS0024.png,2025-07-29,fresh
BEANS\BEANS0025.png,2025-08-08,fresh
BEANS\BEANS0026.png,2025-08-04,fresh
BEANS\BEANS0027.png,2025-08-20,fresh
BEANS\BEANS0028.png,2025-07-04,expired
BEANS\BEANS0029.png,2025-08-30,fresh
BEANS\BEANS0030.png,2025-07-12,expiring_soon
BEANS\BEANS0031.png,2025-08-30,fresh
BEANS\BEANS0032.png,2025-07-27,fresh
BEANS\BEANS0033.png,2025-09-05,fresh
BEANS\BEANS0034.png,2025-09-04,fresh
BEANS\BEANS0035.png,2025-07-30,fresh
BEANS\BEANS0036.png,2025-08-23,fresh
BEANS\BEANS0037.png,2025-08-10,fresh
BEANS\BEANS0038.png,2025-07-22,expiring_soon
BEANS\BEANS0039.png,2025-06-30,expired
BEANS\BEANS0040.png,2025-06-27,expired
BEANS\BEANS0041.png,2025-06-29,expired
BEANS\BEANS0042.png,2025-08-31,fresh
BEANS\BEANS0043.png,2025-08-22,fresh
BEANS\BEANS0044.png,2025-08-10,fresh
BEANS\BEANS0045.png,2025-08-08,fresh
BEANS\BEANS0046.png,2025-07-23,expiring_soon
BEANS\BEANS0047.png,2025-07-13,expiring_soon
BEANS\BEANS0048.png,2025-08-27,fresh
BEANS\BEANS0049.png,2025-07-03,expired
BEANS\BEANS0050.png,2025-08-18,fresh
BEANS\BEANS0051.png,2025-08-30,fresh
BEANS\BEANS0052.png,2025-07-23,expiring_soon
BEANS\BEANS0053.png,2025-08-02,fresh
BEANS\BEANS0054.png,2025-09-05,fresh
BEANS\BEANS0055.png,2025-06-29,expired
BEANS\BEANS0056.png,2025-08-11,fresh
BEANS\BEANS0057.png,2025-08-18,fresh
BEANS\BEANS0058.png,2025-07-10,expiring_soon
BEANS\BEANS0059.png,2025-09-01,fresh
BEANS\BEANS0060.png,2025-07-31,fresh
BEANS\BEANS0061.png,2025-07-05,expired
BEANS\BEANS0062.png,2025-09-06,fresh
BEANS\BEANS0063.png,2025-07-27,fresh
BEANS\BEANS0064.png,2025-06-23,expired
BEANS\BEANS0065.png,2025-07-16,expiring_soon
BEANS\BEANS0066.png,2025-07-31,fresh
BEANS\BEANS0067.png,2025-07-26,fresh
BEANS\BEANS0068.png,2025-06-28,expired
BEANS\BEANS0069.png,2025-06-28,expired
BEANS\BEANS0070.png,2025-08-22,fresh
BEANS\BEANS0071.png,2025-08-28,fresh
BEANS\BEANS0072.png,2025-08-15,fresh
BEANS\BEANS0073.png,2025-08-10,fresh
BEANS\BEANS0074.png,2025-08-01,fresh
BEANS\BEANS0075.png,2025-09-06,fresh
BEANS\BEANS0076.png,2025-08-26,fresh
BEANS\BEANS0077.png,2025-07-05,expired
BEANS\BEANS0078.png,2025-07-07,expired
BEANS\BEANS0079.png,2025-07-24,fresh
BEANS\BEANS0080.png,2025-07-07,expired
BEANS\BEANS0081.png,2025-07-16,expiring_soon
BEANS\BEANS0082.png,2025-07-05,expired
BEANS\BEANS0083.png,2025-08-23,fresh
BEANS\BEANS0092.png,2025-07-08,expiring_soon
BEANS\BEANS0093.png,2025-08-15,fresh
BEANS\BEANS0094.png,2025-07-21,expiring_soon
BEANS\BEANS0095.png,2025-07-14,expiring_soon
